sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.7112434698698965,57,80,0
2,0.6493722734689801,52,80,0
3,0.6368843451330382,51,80,0
4,0.8765368612968071,50,57,23
5,0.861781848459617,69,80,0
6,1.3321492007104796,64,48,32
7,1.7476697736351532,105,60,20
8,2.027193054304202,132,65,15
9,1.9954197959114945,158,79,1
10,1.9984573311829466,152,76,4
11,2.1181808243139826,155,73,7
12,2.2830009842878494,167,73,7
13,2.7219937091700945,180,66,14
14,3.3530879600748595,215,64,16
15,3.371439154151795,267,79,1
16,3.6510016850777007,260,71,9
17,3.139806581424028,129,41,39
