sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.698928309924782,56,80,0
2,0.5496518871381458,44,80,0
3,0.524632757070051,42,80,0
4,0.4744780741184697,38,80,0
5,0.3748001066098081,30,80,0
6,0.3498134328358209,28,80,0
7,0.34701658276576847,25,72,8
8,0.4817757898743814,27,56,24
9,0.4621610818732929,37,80,0
10,0.45790934320074006,33,72,8
11,0.3997601439136518,32,80,0
12,0.842907092907093,27,32,48
13,1.3385008790155026,67,50,30
14,1.3669342119098524,104,76,4
15,1.8219190881061385,104,57,23
16,1.8796663044621265,143,76,4
17,2.0503754465262087,150,73,7
18,2.0733080782225866,162,78,2
19,2.306740182288736,164,71,9
20,2.804893509127789,177,63,17
21,3.307508939213349,222,67,13
22,3.4820946553895986,258,74,6
23,3.3242001772906766,220,66,14
