sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.673719932128955,54,80,0
2,0.5866591219252405,47,80,0
3,0.487142761974552,39,80,0
4,0.4856793960923624,35,72,8
5,0.44403330249768735,32,72,8
6,0.4371502797761791,35,80,0
7,0.5709935287400076,32,56,24
8,0.9365114601254232,45,48,32
9,1.4559875755726883,70,48,32
10,1.8389346861128726,116,63,17
11,1.9570079522862824,147,75,5
12,1.9463224749026837,152,78,2
13,1.960734057822432,153,78,2
14,2.1357380161366875,156,73,7
15,2.4294308190652476,168,69,11
16,3.007354774370481,193,64,16
17,3.170534268753373,235,74,6
18,3.5528596187175046,246,69,11
19,3.531192197746763,280,79,1
20,1.9275079758950726,29,15,65
