sep=,
ModelTime, BackEnd, FrontEnd, Design
0,2.0,1.5,2.0
20,2.0,1.5,2.0
40,2.0,1.5,3.05
60,2.3,1.8,3.3499999999999996
80,2.3,1.8,3.3499999999999996
100,2.3,1.8,3.3499999999999996
120,2.3,1.8,3.3499999999999996
140,3.6499999999999995,3.15,3.3499999999999996
160,3.6499999999999995,3.3,3.4999999999999996
180,3.6499999999999995,3.3,3.4999999999999996
200,3.6499999999999995,3.3,3.4999999999999996
220,3.6499999999999995,3.3,3.4999999999999996
240,3.6499999999999995,3.3,3.4999999999999996
260,3.6499999999999995,3.3,3.4999999999999996
280,4.699999999999999,4.35,4.55
300,4.699999999999999,4.35,4.55
320,4.699999999999999,4.35,4.55
340,4.699999999999999,4.35,4.55
360,4.699999999999999,4.35,4.55
380,4.699999999999999,4.35,4.55
400,4.699999999999999,4.35,4.55
420,5.1499999999999995,4.35,4.55
440,5.1499999999999995,4.35,4.55
460,5.1499999999999995,4.35,4.55
480,5.1499999999999995,4.35,4.55
500,5.8999999999999995,4.35,5.3
520,5.8999999999999995,4.35,5.3
540,5.8999999999999995,4.35,5.3
560,5.8999999999999995,4.5,5.45
580,5.8999999999999995,4.5,5.45
600,5.8999999999999995,4.5,5.45
620,5.8999999999999995,4.5,5.45
640,5.8999999999999995,4.5,5.45
660,5.8999999999999995,4.5,5.45
680,5.8999999999999995,4.5,5.45
700,5.8999999999999995,4.5,5.45
720,6.6499999999999995,4.5,6.2
740,6.6499999999999995,4.5,6.2
760,6.6499999999999995,4.5,6.2
780,6.6499999999999995,4.5,6.2
800,7.1,4.5,6.65
820,8.0,4.5,7.550000000000001
840,9.05,4.5,8.600000000000001
860,9.05,4.5,8.600000000000001
880,9.05,4.5,9.05
900,9.05,4.5,9.8
920,9.05,4.5,11.15
940,9.05,4.5,11.15
960,9.5,4.5,11.15
980,9.5,4.5,12.05
1000,9.5,4.5,13.55
1020,9.5,4.5,13.55
1040,10.1,4.65,14.3
1060,10.1,4.65,15.350000000000001
1080,10.1,4.65,16.700000000000003
1100,10.1,4.65,16.700000000000003
1120,11.75,5.8500000000000005,17.900000000000002
1140,11.75,6.45,19.550000000000004
1160,11.75,7.35,20.450000000000003
1180,13.25,8.85,21.35
1200,13.25,8.85,21.35
1220,13.25,8.85,21.35
1240,13.25,8.85,21.35
1260,13.25,8.85,21.35
1280,13.4,9.45,22.1
1300,13.4,9.45,23.6
1320,14.450000000000001,10.5,24.650000000000002
1340,14.450000000000001,12.0,26.150000000000002
1360,14.450000000000001,12.0,27.65
1380,14.450000000000001,12.75,28.4
1400,15.65,13.95,30.0
1420,15.65,13.95,30.0
1440,15.65,13.95,30.0
1460,16.25,14.549999999999999,30.0
1480,17.45,14.549999999999999,30.0
1500,18.8,15.899999999999999,30.0
1520,18.8,15.899999999999999,30.0
1540,18.8,16.5,30.0
1560,18.8,18.15,30.0
1580,20.3,18.15,30.0
1600,20.3,18.15,30.0
1620,20.3,18.15,30.0
1640,21.2,18.75,30.0
1660,23.9,18.75,30.0
1680,23.9,18.75,30.0
1700,23.9,18.75,30.0
1720,23.9,18.75,30.0
1740,23.9,18.75,30.0
1760,23.9,18.75,30.0
1780,23.9,18.75,30.0
1800,23.9,18.75,30.0
1820,23.9,18.75,30.0
1840,23.9,18.75,30.0
1860,23.9,18.75,30.0
1880,23.9,18.75,30.0
1900,23.9,18.75,30.0
1920,23.9,18.75,30.0
1940,23.9,18.75,30.0
1960,23.9,18.75,30.0
1980,23.9,18.75,30.0
2000,23.9,18.75,30.0
