sprint,time,model time overall project,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,40,0,1,5,start,1,3,2
1,15042,40,1,5,end,1.75,3.75,2
1,15061,40,6,5,start,1.75,3.75,2
1,30065,80,6,5,end,2.5,3.75,2
2,9,80,19,9,start,2.5,3.75,2
2,27012,152,19,9,end,3.85,5.1,3.35
3,21,160,25,2,start,3.85,5.1,3.35
3,3022,168,25,2,end,4.15,5.4,3.35
3,3028,168,32,2,start,4.15,5.4,3.35
3,6031,176,32,2,end,4.15,5.7,3.65
3,6037,176,29,10,start,4.15,5.7,3.65
3,15790,202,29,10,end,4.15,7.2,3.65
3,15797,202,33,4,start,4.15,7.2,3.65
3,27799,234,33,4,end,4.15,7.2,4.25
4,11,240,36,3,start,4.15,7.2,4.25
4,3013,248,36,3,end,4.15,7.65,4.25
4,3019,248,34,5,start,4.15,7.65,4.25
4,18021,288,34,5,end,4.9,7.65,5
4,18027,288,38,3,start,4.9,7.65,5
4,27029,312,38,3,end,5.35,7.65,5
5,20,320,40,10,start,5.35,7.65,5
5,30024,400,40,10,end,5.35,7.65,6.5
6,3,400,45,5,start,5.35,7.65,6.5
6,4880,413,45,5,end,6.1,8.4,7.25
6,4883,413,41,2,start,6.1,8.4,7.25
6,6760,418,41,2,end,6.4,8.7,7.25
6,6763,418,43,2,start,6.4,8.7,7.25
6,8640,423,43,2,end,6.7,9,7.25
6,8645,423,42,8,start,6.7,9,7.25
6,16523,444,42,8,end,6.7,10.2,8.45
6,16528,444,44,3,start,6.7,10.2,8.45
6,19530,452,44,3,end,7.15,10.65,8.45
7,11,480,50,3,start,7.15,10.65,8.45
7,3013,488,50,3,end,7.6,10.65,8.45
8,7,560,54,8,start,7.6,10.65,8.45
8,7883,581,54,8,end,7.6,11.85,8.45
8,7889,581,51,10,start,7.6,11.85,8.45
8,17641,607,51,10,end,7.6,11.85,9.95
9,31,640,60,8,start,7.6,11.85,9.95
9,7907,661,60,8,end,7.6,13.05,11.15
10,30,720,68,8,start,7.6,13.05,11.15
10,7907,741,68,8,end,7.6,14.25,11.15
11,37,800,81,2,start,7.6,14.25,11.15
11,1914,805,81,2,end,7.6,14.55,11.45
11,1921,805,85,8,start,7.6,14.55,11.45
11,9798,826,85,8,end,8.8,15.75,11.45
11,9803,826,88,1,start,8.8,15.75,11.45
11,10556,828,88,1,end,8.8,15.9,11.45
11,10562,828,76,9,start,8.8,15.9,11.45
11,19564,852,76,9,end,8.8,17.25,11.45
12,24,880,109,1,start,8.8,17.25,11.45
12,775,882,109,1,end,8.95,17.4,11.45
12,780,882,94,10,start,8.95,17.4,11.45
12,10532,908,94,10,end,10.45,18.9,11.45
12,10535,908,97,7,start,10.45,18.9,11.45
12,17287,926,97,7,end,11.5,18.9,11.45
13,43,960,127,8,start,11.5,18.9,11.45
13,7919,981,127,8,end,12.7,20.1,11.45
13,7926,981,125,3,start,12.7,20.1,11.45
13,10178,987,125,3,end,12.7,20.55,11.9
13,10184,987,119,6,start,12.7,20.55,11.9
13,13561,996,119,6,end,12.7,21.45,11.9
13,13568,996,121,5,start,12.7,21.45,11.9
13,16570,1004,121,5,end,12.7,22.2,11.9
