sprint,time,model time overall project,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,17,0,8,4,start,2.5,1,2
1,12030,32,8,4,end,3.1,1,2.6
1,12040,32,2,1,start,3.1,1,2.6
1,15042,40,2,1,end,3.1,1,2.75
1,15055,40,5,5,start,3.1,1,2.75
1,30059,80,5,5,end,3.85,1,2.75
2,5,80,12,5,start,3.85,1,2.75
2,15006,120,12,5,end,3.85,1,3.5
2,15014,120,14,5,start,3.85,1,3.5
2,30018,160,14,5,end,3.85,1.75,3.5
5,8,320,39,1,start,3.85,1.75,3.5
5,3011,328,39,1,end,4,1.75,3.5
7,10,480,47,5,start,4,1.75,3.5
7,15013,520,47,5,end,4,2.5,4.25
8,5,560,56,9,start,4,2.5,4.25
8,27004,632,56,9,end,5.35,3.85,4.25
9,10,640,62,6,start,5.35,3.85,4.25
9,10512,668,62,6,end,6.25,4.75,5.15
10,10,720,69,10,start,6.25,4.75,5.15
10,12762,754,69,10,end,7.75,6.25,6.65
11,18,800,84,6,start,7.75,6.25,6.65
11,6020,816,84,6,end,8.65,7.15,7.55
11,6026,816,89,4,start,8.65,7.15,7.55
11,9778,826,89,4,end,9.25,7.75,7.55
11,9784,826,86,7,start,9.25,7.75,7.55
11,16536,844,86,7,end,9.25,8.8,7.55
12,14,880,98,10,start,9.25,8.8,7.55
12,9765,906,98,10,end,10.75,10.3,9.05
12,9768,906,108,9,start,10.75,10.3,9.05
12,18770,930,108,9,end,12.1,11.65,9.05
13,15,960,113,10,start,12.1,11.65,9.05
13,9768,986,113,10,end,13.6,13.15,10.55
13,9773,986,136,10,start,13.6,13.15,10.55
13,19525,1012,136,10,end,15.1,13.15,12.05
13,19531,1012,138,9,start,15.1,13.15,12.05
13,28533,1036,138,9,end,16.45,13.15,12.05
14,16,1040,162,8,start,16.45,13.15,12.05
14,7893,1061,162,8,end,17.65,14.35,13.25
14,7896,1061,154,9,start,17.65,14.35,13.25
14,16897,1085,154,9,end,17.65,15.7,14.6
14,16904,1085,143,3,start,17.65,15.7,14.6
14,19906,1093,143,3,end,18.1,15.7,14.6
14,19912,1093,156,9,start,18.1,15.7,14.6
14,28914,1117,156,9,end,19.45,15.7,14.6
16,16,1200,199,6,start,19.45,15.7,14.6
16,6018,1216,199,6,end,20.35,16.6,15.5
16,6023,1216,202,10,start,20.35,16.6,15.5
16,13525,1236,202,10,end,21.85,16.6,17
16,13530,1236,201,5,start,21.85,16.6,17
16,16532,1244,201,5,end,22.6,16.6,17
16,16537,1244,204,1,start,22.6,16.6,17
16,17289,1246,204,1,end,22.6,16.75,17
16,17294,1246,177,6,start,22.6,16.75,17
16,23296,1262,177,6,end,22.6,17.65,17
17,24,1280,234,1,start,22.6,17.65,17
17,776,1282,234,1,end,22.75,17.65,17.15
17,780,1282,236,1,start,22.75,17.65,17.15
17,1532,1284,236,1,end,22.9,17.8,17.15
17,1537,1284,237,4,start,22.9,17.8,17.15
17,4539,1292,237,4,end,23.5,18.4,17.15
17,4544,1292,216,6,start,23.5,18.4,17.15
17,9046,1304,216,6,end,24.4,19.3,17.15
17,9051,1304,228,9,start,24.4,19.3,17.15
17,15803,1322,228,9,end,25.75,20.65,17.15
17,15812,1322,226,6,start,25.75,20.65,17.15
17,19189,1331,226,6,end,26.65,20.65,17.15
18,14,1360,252,9,start,26.65,20.65,17.15
18,6015,1376,252,9,end,28,22,18.5
18,6017,1376,267,7,start,28,22,18.5
18,10144,1387,267,7,end,29.05,23.05,18.5
18,10149,1387,268,4,start,29.05,23.05,18.5
18,12401,1393,268,4,end,29.65,23.65,18.5
18,12408,1393,246,9,start,29.65,23.65,18.5
18,17660,1407,246,9,end,29.65,25,18.5
18,17666,1407,263,2,start,29.65,25,18.5
18,18793,1410,263,2,end,29.95,25,18.5
19,16,1440,282,3,start,29.95,25,18.5
19,1893,1445,282,3,end,30,25.45,18.95
19,1895,1445,287,9,start,30,25.45,18.95
19,8647,1463,287,9,end,30,26.8,20.3
19,8652,1463,283,5,start,30,26.8,20.3
19,11654,1471,283,5,end,30,27.55,20.3
19,11660,1471,285,6,start,30,27.55,20.3
19,15037,1480,285,6,end,30,28.45,20.3
19,15043,1480,288,10,start,30,28.45,20.3
19,21045,1496,288,10,end,30,29.95,20.3
