sep=,
sprint,time,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,3,3,6,start,2.5,2.0,3.0
1,18025,3,6,end,3.4,2.9,3.0
1,18034,7,3,start,3.4,2.9,3.0
1,27037,7,3,end,3.4,3.3499999999999996,3.0
1,27047,12,1,start,3.4,3.3499999999999996,3.0
1,30049,12,1,end,3.4,3.3499999999999996,3.15
2,13,20,2,start,3.4,3.3499999999999996,3.15
2,6015,20,2,end,3.6999999999999997,3.6499999999999995,3.15
2,6022,15,3,start,3.6999999999999997,3.6499999999999995,3.15
2,15025,15,3,end,3.6999999999999997,4.1,3.15
2,15032,14,4,start,3.6999999999999997,4.1,3.15
2,27036,14,4,end,3.6999999999999997,4.699999999999999,3.15
5,17,24,9,start,3.6999999999999997,4.699999999999999,3.15
5,27018,24,9,end,3.6999999999999997,4.699999999999999,4.5
7,10,49,4,start,3.6999999999999997,4.699999999999999,4.5
7,12013,49,4,end,3.6999999999999997,5.299999999999999,4.5
8,1,55,1,start,3.6999999999999997,5.299999999999999,4.5
8,1502,55,1,end,3.8499999999999996,5.449999999999999,4.65
8,1508,58,2,start,3.8499999999999996,5.449999999999999,4.65
8,3385,58,2,end,3.8499999999999996,5.749999999999999,4.65
9,6,64,1,start,3.8499999999999996,5.749999999999999,4.65
9,758,64,1,end,3.8499999999999996,5.8999999999999995,4.65
9,763,61,10,start,3.8499999999999996,5.8999999999999995,4.65
9,15765,61,10,end,3.8499999999999996,7.3999999999999995,6.15
10,6,71,2,start,3.8499999999999996,7.3999999999999995,6.15
10,1883,71,2,end,3.8499999999999996,7.3999999999999995,6.45
10,1886,72,5,start,3.8499999999999996,7.3999999999999995,6.45
10,6762,72,5,end,3.8499999999999996,7.3999999999999995,7.2
11,12,82,8,start,3.8499999999999996,7.3999999999999995,7.2
11,10139,82,8,end,5.05,8.6,8.4
11,10145,91,8,start,5.05,8.6,8.4
11,18021,91,8,end,5.05,9.799999999999999,8.4
12,9,96,1,start,5.05,9.799999999999999,8.4
12,761,96,1,end,5.2,9.95,8.55
12,766,92,9,start,5.2,9.95,8.55
12,9768,92,9,end,6.55,9.95,9.9
12,9770,112,5,start,6.55,9.95,9.9
12,14647,112,5,end,6.55,10.7,10.65
12,14653,104,3,start,6.55,10.7,10.65
12,17655,104,3,end,6.55,11.149999999999999,10.65
13,11,115,4,start,6.55,11.149999999999999,10.65
13,3763,115,4,end,7.1499999999999995,11.749999999999998,11.25
13,3768,118,5,start,7.1499999999999995,11.749999999999998,11.25
13,8646,118,5,end,7.8999999999999995,11.749999999999998,12.0
13,8652,130,3,start,7.8999999999999995,11.749999999999998,12.0
13,11654,130,3,end,8.35,11.749999999999998,12.45
13,11660,116,1,start,8.35,11.749999999999998,12.45
13,12412,116,1,end,8.35,11.749999999999998,12.6
13,12418,131,8,start,8.35,11.749999999999998,12.6
13,20295,131,8,end,8.35,11.749999999999998,13.799999999999999
14,11,155,1,start,8.35,11.749999999999998,13.799999999999999
14,763,155,1,end,8.5,11.899999999999999,13.95
14,768,144,3,start,8.5,11.899999999999999,13.95
14,3770,144,3,end,8.95,11.899999999999999,14.399999999999999
14,3775,152,10,start,8.95,11.899999999999999,14.399999999999999
14,13527,152,10,end,10.45,11.899999999999999,15.899999999999999
14,13533,163,8,start,10.45,11.899999999999999,15.899999999999999
14,21410,163,8,end,10.45,11.899999999999999,17.099999999999998
18,10,249,1,start,10.45,11.899999999999999,17.099999999999998
18,762,249,1,end,10.6,12.049999999999999,17.249999999999996
18,767,261,8,start,10.6,12.049999999999999,17.249999999999996
18,8644,261,8,end,10.6,13.249999999999998,18.449999999999996
18,8646,266,2,start,10.6,13.249999999999998,18.449999999999996
18,10523,266,2,end,10.9,13.549999999999999,18.449999999999996
18,10528,270,8,start,10.9,13.549999999999999,18.449999999999996
18,18405,270,8,end,12.1,14.749999999999998,18.449999999999996
19,10,273,1,start,12.1,14.749999999999998,18.449999999999996
19,762,273,1,end,12.25,14.899999999999999,18.599999999999994
19,767,293,7,start,12.25,14.899999999999999,18.599999999999994
19,7519,293,7,end,12.25,15.95,19.649999999999995
19,7524,297,8,start,12.25,15.95,19.649999999999995
19,15401,297,8,end,13.45,15.95,20.849999999999994
19,15407,295,10,start,13.45,15.95,20.849999999999994
19,25159,295,10,end,14.95,17.45,20.849999999999994
