sprint,time,model time overall project,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,35,0,13,6,start,3,1,1.5
1,18038,48,13,6,end,3.9,1.9,1.5
1,18047,48,9,4,start,3.9,1.9,1.5
1,30050,80,9,4,end,3.9,2.5,1.5
2,7,80,16,3,start,3.9,2.5,1.5
2,9008,104,16,3,end,4.35,2.95,1.95
2,9011,104,17,7,start,4.35,2.95,1.95
2,30014,160,17,7,end,4.35,4,1.95
3,23,160,27,6,start,4.35,4,1.95
3,18025,208,27,6,end,5.25,4,2.85
4,6,240,23,2,start,5.25,4,2.85
4,6009,256,23,2,end,5.25,4,3.15
4,6015,256,35,7,start,5.25,4,3.15
4,16517,284,35,7,end,6.3,4,4.2
4,16523,284,37,5,start,6.3,4,4.2
4,24025,304,37,5,end,7.05,4,4.95
7,7,480,46,9,start,7.05,4,4.95
7,9010,504,46,9,end,8.4,4,4.95
8,6,560,57,2,start,8.4,4,4.95
8,1882,565,57,2,end,8.7,4,4.95
8,1888,565,59,5,start,8.7,4,4.95
8,16890,605,59,5,end,8.7,4.75,4.95
9,28,640,63,1,start,8.7,4.75,4.95
9,779,642,63,1,end,8.85,4.75,4.95
9,784,642,65,9,start,8.85,4.75,4.95
9,27785,714,65,9,end,8.85,6.1,4.95
10,27,720,73,7,start,8.85,6.1,4.95
10,6780,738,73,7,end,8.85,7.15,4.95
11,35,800,83,8,start,8.85,7.15,4.95
11,7911,821,83,8,end,10.05,8.35,4.95
11,7917,821,90,1,start,10.05,8.35,4.95
11,8669,823,90,1,end,10.2,8.5,4.95
11,8674,823,78,10,start,10.2,8.5,4.95
11,23676,863,78,10,end,11.7,8.5,6.45
12,22,880,107,4,start,11.7,8.5,6.45
12,3773,890,107,4,end,11.7,9.1,7.05
12,3779,890,99,9,start,11.7,9.1,7.05
12,12780,914,99,9,end,13.05,10.45,7.05
12,12785,914,111,1,start,13.05,10.45,7.05
12,13537,916,111,1,end,13.05,10.45,7.2
12,13542,916,101,9,start,13.05,10.45,7.2
12,22544,940,101,9,end,13.05,11.8,7.2
13,40,960,126,2,start,13.05,11.8,7.2
13,1917,965,126,2,end,13.05,12.1,7.5
13,1922,965,139,7,start,13.05,12.1,7.5
13,8674,983,139,7,end,14.1,12.1,8.55
13,8680,983,132,6,start,14.1,12.1,8.55
13,14682,999,132,6,end,14.1,13,9.45
13,14688,999,123,5,start,14.1,13,9.45
13,19565,1012,123,5,end,14.1,13,10.2
13,19571,1012,140,9,start,14.1,13,10.2
13,28573,1036,140,9,end,15.45,13,10.2
14,28,1040,149,8,start,15.45,13,10.2
14,7905,1061,149,8,end,16.65,14.2,10.2
14,7907,1061,166,6,start,16.65,14.2,10.2
14,13909,1077,166,6,end,17.55,15.1,10.2
14,13914,1077,165,8,start,17.55,15.1,10.2
14,21791,1098,165,8,end,18.75,15.1,10.2
15,20,1120,181,5,start,18.75,15.1,10.2
15,4897,1133,181,5,end,19.5,15.85,10.95
15,4902,1133,167,7,start,19.5,15.85,10.95
15,11654,1151,167,7,end,20.55,16.9,10.95
15,11660,1151,182,5,start,20.55,16.9,10.95
15,15412,1161,182,5,end,21.3,17.65,10.95
15,15417,1161,183,7,start,21.3,17.65,10.95
15,19545,1172,183,7,end,22.35,17.65,10.95
15,19550,1172,171,9,start,22.35,17.65,10.95
15,24802,1186,171,9,end,23.7,17.65,10.95
16,11,1200,196,1,start,23.7,17.65,10.95
16,763,1202,196,1,end,23.85,17.8,11.1
16,768,1202,198,4,start,23.85,17.8,11.1
16,3770,1210,198,4,end,24.45,18.4,11.1
16,3775,1210,195,9,start,24.45,18.4,11.1
16,10527,1228,195,9,end,25.8,19.75,11.1
16,10532,1228,194,7,start,25.8,19.75,11.1
16,14659,1239,194,7,end,26.85,19.75,11.1
16,14664,1239,211,5,start,26.85,19.75,11.1
16,17666,1247,211,5,end,27.6,19.75,11.1
16,17673,1247,180,6,start,27.6,19.75,11.1
16,23675,1263,180,6,end,27.6,20.65,11.1
16,23681,1263,200,10,start,27.6,20.65,11.1
16,29683,1279,200,10,end,27.6,22.15,11.1
17,21,1280,223,6,start,27.6,22.15,11.1
17,4147,1291,223,6,end,28.5,23.05,12
17,4152,1291,219,7,start,28.5,23.05,12
17,8279,1302,219,7,end,29.55,24.1,12
17,8284,1302,213,3,start,29.55,24.1,12
17,10536,1308,213,3,end,29.55,24.55,12.45
17,10541,1308,217,1,start,29.55,24.55,12.45
17,10918,1309,217,1,end,29.7,24.55,12.45
17,10925,1309,230,8,start,29.7,24.55,12.45
17,15427,1321,230,8,end,29.7,25.75,12.45
17,15433,1321,239,2,start,29.7,25.75,12.45
17,16560,1324,239,2,end,30,25.75,12.45
17,16566,1324,227,9,start,30,25.75,12.45
17,21818,1338,227,9,end,30,25.75,12.45
18,21,1360,253,4,start,30,25.75,12.45
18,3022,1368,253,4,end,30,26.35,13.05
18,3027,1368,256,3,start,30,26.35,13.05
18,5279,1374,256,3,end,30,26.8,13.5
18,5281,1374,264,3,start,30,26.8,13.5
18,7533,1380,264,3,end,30,27.25,13.95
18,7536,1380,262,7,start,30,27.25,13.95
18,11663,1391,262,7,end,30,28.3,13.95
18,11668,1391,243,3,start,30,28.3,13.95
18,13170,1395,243,3,end,30,28.75,13.95
18,13176,1395,257,4,start,30,28.75,13.95
18,16928,1405,257,4,end,30,28.75,14.55
18,16933,1405,258,9,start,30,28.75,14.55
18,22185,1419,258,9,end,30,28.75,14.55
19,28,1440,280,2,start,30,28.75,14.55
19,1530,1444,280,2,end,30,29.05,14.85
19,1535,1444,289,3,start,30,29.05,14.85
19,3787,1450,289,3,end,30,29.5,15.3
19,3792,1450,300,9,start,30,29.5,15.3
19,10544,1468,300,9,end,30,30,16.65
19,10549,1468,274,9,start,30,30,16.65
19,17301,1486,274,9,end,30,30,18
19,17307,1486,279,1,start,30,30,18
19,17684,1487,279,1,end,30,30,18
19,17690,1487,298,2,start,30,30,18
19,18817,1490,298,2,end,30,30,18
