sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6739890164752871,54,80,0
2,0.6371814092953523,51,80,0
3,0.5619193500049948,45,80,0
4,0.48712653632215297,39,80,0
5,0.4123213274247826,33,80,0
6,0.46342506773135606,26,56,24
7,0.3996270147861995,32,80,0
8,0.37471272024781,30,80,0
9,0.5492676431424767,22,40,40
10,0.8874164349523753,40,45,35
11,1.4959241486963057,69,46,34
12,1.7646697765774613,115,65,15
13,1.9817131125727103,139,70,10
14,1.8847984555470492,151,80,0
15,1.9577785564120531,149,76,4
16,2.1660852931247887,154,71,9
17,2.4839219008741864,172,69,11
18,2.863478596220594,198,69,11
19,3.2155695349359696,229,71,9
20,3.408845932739293,253,74,6
21,3.5533541509637123,264,74,6
