sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6118677366721055,49,80,0
2,0.5246502331778814,42,80,0
3,0.5121756221059995,41,80,0
4,0.43723765740555665,35,80,0
5,0.424702708104327,34,80,0
6,0.3747501665556296,27,72,8
7,0.34991835238444363,28,80,0
8,0.6741011984021305,27,40,40
9,0.9458430495407605,53,56,24
10,0.849405416208654,68,80,0
11,1.195290199809705,67,56,24
12,1.2637147335423198,86,68,12
13,1.4971927635683093,96,64,16
14,1.653552286463679,116,70,10
15,2.0113508793813146,129,64,16
16,2.1146616541353382,159,75,5
17,2.397169057494007,168,70,10
18,2.6290630975143405,187,71,9
19,2.881844380403458,208,72,8
20,2.9677564279789883,229,77,3
21,3.2824272418377896,237,72,8
22,3.539079025871888,174,49,31
