sep=,
sprint,velocity,storyPoints,duration
1,0.7349277528649726,59,30105
2,0.4369901781255202,35,30035
3,0.3994673768308921,32,30040
4,0.3605769230769231,26,27040
5,0.9573164505258858,25,9793
6,1.5448829141370337,76,18448
7,1.7832375668714087,120,25235
8,2.066075336042513,141,25592
9,2.3196463132328944,163,26351
10,2.7983894767907582,177,23719
11,3.4935897435897436,218,23400
12,3.4974360739236676,271,29057
13,3.4714157735824016,279,30139
14,2.218059936908517,60,10144
