sep=,
sprint,time,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,15,9,4,start,2.5,1.0,2.0
1,12044,9,4,end,2.5,2.2,2.0
1,12044,1,5,start,2.5,2.2,2.0
1,27055,1,5,end,4.0,3.7,2.0
2,9,20,2,start,4.0,3.7,2.0
2,6025,20,2,end,4.6,4.3,2.0
2,6025,17,7,start,4.6,4.3,2.0
2,27051,17,7,end,4.6,6.4,2.0
3,20,23,6,start,4.6,6.4,2.0
3,18037,23,6,end,4.6,6.4,3.8
4,16,26,3,start,4.6,6.4,3.8
4,9030,26,3,end,5.5,6.4,3.8
5,16,32,2,start,5.5,6.4,3.8
5,3016,32,2,end,5.5,7.0,4.3999999999999995
6,16,41,2,start,5.5,7.0,4.3999999999999995
6,1898,41,2,end,6.1,7.6,4.3999999999999995
6,1898,44,3,start,6.1,7.6,4.3999999999999995
6,4898,44,3,end,7.0,8.5,4.3999999999999995
6,4909,46,9,start,7.0,8.5,4.3999999999999995
6,13913,46,9,end,9.7,8.5,4.3999999999999995
7,42,57,2,start,9.7,8.5,4.3999999999999995
7,1921,57,2,end,10.299999999999999,8.5,4.3999999999999995
7,1930,53,3,start,10.299999999999999,8.5,4.3999999999999995
7,6434,53,3,end,11.2,8.5,5.299999999999999
7,6445,51,10,start,11.2,8.5,5.299999999999999
7,16206,51,10,end,11.2,8.5,8.299999999999999
8,17,88,1,start,11.2,8.5,8.299999999999999
8,772,88,1,end,11.2,8.8,8.299999999999999
8,781,89,4,start,11.2,8.8,8.299999999999999
8,4536,89,4,end,12.399999999999999,10.0,8.299999999999999
8,4547,74,6,start,12.399999999999999,10.0,8.299999999999999
8,10551,74,6,end,14.2,10.0,10.099999999999998
8,10559,92,9,start,14.2,10.0,10.099999999999998
8,19563,92,9,end,16.9,10.0,12.799999999999997
9,5,116,1,start,16.9,10.0,12.799999999999997
9,756,116,1,end,16.9,10.0,13.099999999999998
9,768,126,2,start,16.9,10.0,13.099999999999998
9,2649,126,2,end,16.9,10.6,13.699999999999998
9,2659,123,5,start,16.9,10.6,13.699999999999998
9,7538,123,5,end,16.9,10.6,15.199999999999998
9,7548,118,5,start,16.9,10.6,15.199999999999998
9,12427,118,5,end,18.4,10.6,16.699999999999996
9,12437,99,9,start,18.4,10.6,16.699999999999996
9,21442,99,9,end,21.099999999999998,13.299999999999999,16.699999999999996
10,31,133,1,start,21.099999999999998,13.299999999999999,16.699999999999996
10,785,133,1,end,21.4,13.6,16.699999999999996
10,797,146,3,start,21.4,13.6,16.699999999999996
10,3053,146,3,end,22.299999999999997,14.5,16.699999999999996
10,3060,135,8,start,22.299999999999997,14.5,16.699999999999996
10,7581,135,8,end,24.699999999999996,14.5,16.699999999999996
10,7581,139,7,start,24.699999999999996,14.5,16.699999999999996
10,12831,139,7,end,26.799999999999997,14.5,18.799999999999997
10,12831,136,10,start,26.799999999999997,14.5,18.799999999999997
10,20339,136,10,end,29.799999999999997,14.5,21.799999999999997
11,23,183,7,start,29.799999999999997,14.5,21.799999999999997
11,4153,183,7,end,30.0,14.5,21.799999999999997
11,4164,184,8,start,30.0,14.5,21.799999999999997
11,8669,184,8,end,30.0,14.5,21.799999999999997
11,8679,171,9,start,30.0,14.5,21.799999999999997
11,13933,171,9,end,30.0,14.5,21.799999999999997
11,13943,172,8,start,30.0,14.5,21.799999999999997
11,19950,172,8,end,30.0,16.9,21.799999999999997
12,16,217,1,start,30.0,16.9,21.799999999999997
12,400,217,1,end,30.0,16.9,21.799999999999997
12,410,233,2,start,30.0,16.9,21.799999999999997
12,1540,233,2,end,30.0,16.9,21.799999999999997
12,1550,239,2,start,30.0,16.9,21.799999999999997
12,2680,239,2,end,30.0,16.9,21.799999999999997
12,2695,201,5,start,30.0,16.9,21.799999999999997
12,5699,201,5,end,30.0,16.9,21.799999999999997
12,5706,226,6,start,30.0,16.9,21.799999999999997
12,9084,226,6,end,30.0,16.9,21.799999999999997
12,9090,242,7,start,30.0,16.9,21.799999999999997
12,13218,242,7,end,30.0,16.9,21.799999999999997
12,13228,227,9,start,30.0,16.9,21.799999999999997
12,18485,227,9,end,30.0,16.9,21.799999999999997
12,18485,205,4,start,30.0,16.9,21.799999999999997
12,21126,205,4,end,30.0,18.099999999999998,22.999999999999996
12,21136,223,6,start,30.0,18.099999999999998,22.999999999999996
12,25266,223,6,end,30.0,19.9,24.799999999999997
13,22,263,2,start,30.0,19.9,24.799999999999997
13,1157,263,2,end,30.0,19.9,24.799999999999997
13,1168,284,6,start,30.0,19.9,24.799999999999997
13,4548,284,6,end,30.0,19.9,24.799999999999997
13,4558,248,9,start,30.0,19.9,24.799999999999997
13,9818,248,9,end,30.0,19.9,24.799999999999997
13,9818,249,1,start,30.0,19.9,24.799999999999997
13,10208,249,1,end,30.0,20.2,25.099999999999998
13,10208,273,1,start,30.0,20.2,25.099999999999998
13,10598,273,1,end,30.0,20.5,25.4
13,10608,280,2,start,30.0,20.5,25.4
13,11738,280,2,end,30.0,21.1,26.0
13,11747,256,3,start,30.0,21.1,26.0
13,13253,256,3,end,30.0,22.0,26.9
13,13262,282,3,start,30.0,22.0,26.9
13,14772,282,3,end,30.0,22.9,27.799999999999997
13,14772,253,4,start,30.0,22.9,27.799999999999997
13,17023,253,4,end,30.0,24.099999999999998,28.999999999999996
13,17023,276,5,start,30.0,24.099999999999998,28.999999999999996
13,20023,276,5,end,30.0,25.599999999999998,30.0
13,20034,214,8,start,30.0,25.599999999999998,30.0
13,24541,214,8,end,30.0,27.999999999999996,30.0
14,0,298,2,start,30.0,27.999999999999996,30.0
14,1143,298,2,end,30.0,27.999999999999996,30.0
14,1153,297,8,start,30.0,27.999999999999996,30.0
14,5665,297,8,end,30.0,27.999999999999996,30.0
