sep=,
sprint,time,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,36,6,5,start,1.0,3.0,2.0
1,15036,6,5,end,2.5,3.0,2.0
1,15058,3,1,start,2.5,3.0,2.0
1,18067,3,1,end,2.8,3.3,2.0
1,18073,13,4,start,2.8,3.3,2.0
1,30089,13,4,end,4.0,4.5,2.0
2,10,16,3,start,4.0,4.5,2.0
2,9024,16,3,end,4.9,5.4,2.9
2,9035,10,10,start,4.9,5.4,2.9
2,24041,10,10,end,7.9,8.4,2.9
3,30,19,9,start,7.9,8.4,2.9
3,11292,19,9,end,10.6,11.1,5.6
4,21,27,6,start,10.6,11.1,5.6
4,6029,27,6,end,12.399999999999999,11.1,7.3999999999999995
5,16,34,5,start,12.399999999999999,11.1,7.3999999999999995
5,4910,34,5,end,13.899999999999999,11.1,8.899999999999999
6,32,49,4,start,13.899999999999999,11.1,8.899999999999999
6,3786,49,4,end,13.899999999999999,12.299999999999999,8.899999999999999
6,3796,39,8,start,13.899999999999999,12.299999999999999,8.899999999999999
6,11675,39,8,end,16.299999999999997,12.299999999999999,8.899999999999999
7,59,58,2,start,16.299999999999997,12.299999999999999,8.899999999999999
7,1939,58,2,end,16.299999999999997,12.899999999999999,8.899999999999999
7,1946,66,4,start,16.299999999999997,12.899999999999999,8.899999999999999
7,5700,66,4,end,17.499999999999996,14.099999999999998,10.099999999999998
7,5707,68,8,start,17.499999999999996,14.099999999999998,10.099999999999998
7,13587,68,8,end,17.499999999999996,16.499999999999996,10.099999999999998
7,13594,56,9,start,17.499999999999996,16.499999999999996,10.099999999999998
7,22601,56,9,end,20.199999999999996,19.199999999999996,10.099999999999998
8,42,93,2,start,20.199999999999996,19.199999999999996,10.099999999999998
8,1922,93,2,end,20.199999999999996,19.199999999999996,10.699999999999998
8,1931,87,7,start,20.199999999999996,19.199999999999996,10.699999999999998
8,6061,87,7,end,22.299999999999997,19.199999999999996,10.699999999999998
8,6071,84,6,start,22.299999999999997,19.199999999999996,10.699999999999998
8,10950,84,6,end,24.099999999999998,20.999999999999996,12.499999999999996
8,10961,94,10,start,24.099999999999998,20.999999999999996,12.499999999999996
8,16966,94,10,end,27.099999999999998,23.999999999999996,12.499999999999996
9,51,105,2,start,27.099999999999998,23.999999999999996,12.499999999999996
9,1179,105,2,end,27.7,23.999999999999996,12.499999999999996
9,1185,110,3,start,27.7,23.999999999999996,12.499999999999996
9,3064,110,3,end,28.599999999999998,24.899999999999995,13.399999999999997
9,3075,97,7,start,28.599999999999998,24.899999999999995,13.399999999999997
9,7204,97,7,end,30.0,24.899999999999995,13.399999999999997
9,7214,103,10,start,30.0,24.899999999999995,13.399999999999997
9,13219,103,10,end,30.0,24.899999999999995,13.399999999999997
9,13230,108,9,start,30.0,24.899999999999995,13.399999999999997
9,18483,108,9,end,30.0,27.599999999999994,13.399999999999997
10,56,143,3,start,30.0,27.599999999999994,13.399999999999997
10,1559,143,3,end,30.0,27.599999999999994,13.399999999999997
10,1569,145,5,start,30.0,27.599999999999994,13.399999999999997
10,4574,145,5,end,30.0,27.599999999999994,13.399999999999997
10,4584,151,8,start,30.0,27.599999999999994,13.399999999999997
10,9100,151,8,end,30.0,27.599999999999994,13.399999999999997
10,9100,149,8,start,30.0,27.599999999999994,13.399999999999997
10,13601,149,8,end,30.0,29.999999999999993,13.399999999999997
10,13601,154,9,start,30.0,29.999999999999993,13.399999999999997
10,20362,154,9,end,30.0,30.0,16.099999999999998
11,26,170,2,start,30.0,30.0,16.099999999999998
11,1154,170,2,end,30.0,30.0,16.099999999999998
11,1164,164,5,start,30.0,30.0,16.099999999999998
11,4169,164,5,end,30.0,30.0,16.099999999999998
11,4177,182,5,start,30.0,30.0,16.099999999999998
11,7182,182,5,end,30.0,30.0,16.099999999999998
11,7201,166,6,start,30.0,30.0,16.099999999999998
11,10581,166,6,end,30.0,30.0,16.099999999999998
11,10591,167,7,start,30.0,30.0,16.099999999999998
11,14720,167,7,end,30.0,30.0,16.099999999999998
11,14728,178,7,start,30.0,30.0,16.099999999999998
11,19234,178,7,end,30.0,30.0,18.2
12,44,204,1,start,30.0,30.0,18.2
12,423,204,1,end,30.0,30.0,18.2
12,451,236,1,start,30.0,30.0,18.2
12,834,236,1,end,30.0,30.0,18.2
12,840,203,2,start,30.0,30.0,18.2
12,1970,203,2,end,30.0,30.0,18.2
12,1993,235,2,start,30.0,30.0,18.2
12,3123,235,2,end,30.0,30.0,18.2
12,3135,198,4,start,30.0,30.0,18.2
12,5392,198,4,end,30.0,30.0,18.2
12,5399,237,4,start,30.0,30.0,18.2
12,7653,237,4,end,30.0,30.0,18.2
12,7660,216,6,start,30.0,30.0,18.2
12,11038,216,6,end,30.0,30.0,18.2
12,11044,219,7,start,30.0,30.0,18.2
12,15171,219,7,end,30.0,30.0,18.2
12,15171,195,9,start,30.0,30.0,18.2
12,20422,195,9,end,30.0,30.0,18.2
12,20431,228,9,start,30.0,30.0,18.2
12,25687,228,9,end,30.0,30.0,18.2
13,47,266,2,start,30.0,30.0,18.2
13,1176,266,2,end,30.0,30.0,18.2
13,1182,272,3,start,30.0,30.0,18.2
13,2687,272,3,end,30.0,30.0,18.2
13,2694,265,4,start,30.0,30.0,18.2
13,4950,265,4,end,30.0,30.0,18.2
13,4959,268,4,start,30.0,30.0,18.2
13,7215,268,4,end,30.0,30.0,18.2
13,7225,283,5,start,30.0,30.0,18.2
13,10229,283,5,end,30.0,30.0,18.2
13,10236,267,7,start,30.0,30.0,18.2
13,14365,267,7,end,30.0,30.0,18.2
13,14365,270,8,start,30.0,30.0,18.2
13,18881,270,8,end,30.0,30.0,18.2
13,18888,260,9,start,30.0,30.0,18.2
13,24149,260,9,end,30.0,30.0,18.2
14,21,294,9,start,30.0,30.0,18.2
14,5281,294,9,end,30.0,30.0,18.2
