sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.7115275789754002,57,80,0
2,0.5868740010655301,47,80,0
3,0.5369630369630369,43,80,0
4,0.5247201492537313,42,80,0
5,0.4618226600985222,37,80,0
6,0.4497001998667555,36,80,0
7,0.606478618655758,34,56,24
8,0.9784600011103092,47,48,32
9,1.3557225763485872,76,56,24
10,1.6294322607091618,106,65,15
11,1.968503937007874,128,65,15
12,1.9347729524720676,151,78,2
13,1.9210134644006784,148,77,3
14,2.1130782410051396,148,70,10
15,2.3792986934975224,169,71,9
16,2.9059040590405902,189,65,15
17,2.9100172070582677,230,79,1
18,3.052898656542056,223,73,7
19,3.4340401576280732,244,71,9
20,3.268237572627502,108,33,47
