sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
20,1565,1524,171,6,ACCEPTED,accepted for execution
20,4948,1533,175,4,PICKED,picked for inspection
20,4948,1533,175,4,ACCEPTED,accepted for execution
20,7205,1539,156,5,PICKED,picked for inspection
20,7205,1539,156,5,ACCEPTED,accepted for execution
20,10215,1547,133,6,PICKED,picked for inspection
20,10215,1547,133,6,ACCEPTED,accepted for execution
20,13593,1556,128,6,PICKED,picked for inspection
20,13593,1556,128,6,ACCEPTED,accepted for execution
20,16972,1565,26,9,PICKED,picked for inspection
20,16972,1565,26,9,ACCEPTED,accepted for execution
21,19,1600,117,1,PICKED,picked for inspection
21,19,1600,117,1,ACCEPTED,accepted for execution
21,402,1601,90,4,PICKED,picked for inspection
21,402,1601,90,4,ACCEPTED,accepted for execution
21,2663,1607,311,5,PICKED,picked for inspection
21,2663,1607,311,5,ACCEPTED,accepted for execution
21,5668,1615,100,6,PICKED,picked for inspection
21,5668,1615,100,6,ACCEPTED,accepted for execution
21,9051,1624,77,7,PICKED,picked for inspection
21,9051,1624,77,7,ACCEPTED,accepted for execution
21,13181,1635,148,4,PICKED,picked for inspection
21,13181,1635,148,4,ACCEPTED,accepted for execution
21,15438,1641,184,7,PICKED,picked for inspection
21,15438,1641,184,7,ACCEPTED,accepted for execution
21,19569,1652,112,6,PICKED,picked for inspection
21,19569,1652,112,6,ACCEPTED,accepted for execution
21,22950,1661,105,8,PICKED,picked for inspection
21,22950,1661,105,8,ACCEPTED,accepted for execution
