sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
8,1896,565,122,1,PICKED,picked for inspection
8,1896,565,122,1,ACCEPTED,accepted for execution
8,2649,567,184,7,PICKED,picked for inspection
8,2649,567,184,7,ACCEPTED,accepted for execution
8,7901,581,374,7,PICKED,picked for inspection
8,7901,581,374,7,ACCEPTED,accepted for execution
8,13155,595,255,7,PICKED,picked for inspection
8,13155,595,255,7,ACCEPTED,accepted for execution
8,17283,606,355,5,PICKED,picked for inspection
8,17283,606,355,5,ACCEPTED,accepted for execution
9,12,640,292,1,PICKED,picked for inspection
9,12,640,292,1,ACCEPTED,accepted for execution
9,392,641,360,3,PICKED,picked for inspection
9,392,641,360,3,ACCEPTED,accepted for execution
9,2644,647,151,6,PICKED,picked for inspection
9,2644,647,151,6,ACCEPTED,accepted for execution
9,7147,659,70,5,PICKED,picked for inspection
9,7147,659,70,5,ACCEPTED,accepted for execution
9,10154,667,75,5,PICKED,picked for inspection
9,10154,667,75,5,ACCEPTED,accepted for execution
9,13165,675,237,3,PICKED,picked for inspection
9,13165,675,237,3,ACCEPTED,accepted for execution
9,14669,679,257,9,PICKED,picked for inspection
9,14669,679,257,9,ACCEPTED,accepted for execution
9,19921,693,29,5,PICKED,picked for inspection
9,19921,693,29,5,ACCEPTED,accepted for execution
9,22925,701,10,8,PICKED,picked for inspection
9,22925,701,10,8,ACCEPTED,accepted for execution
10,11,720,397,7,PICKED,picked for inspection
10,11,720,397,7,ACCEPTED,accepted for execution
10,4143,731,104,7,PICKED,picked for inspection
10,4143,731,104,7,ACCEPTED,accepted for execution
10,8278,742,332,5,PICKED,picked for inspection
10,8278,742,332,5,ACCEPTED,accepted for execution
10,11281,750,6,6,PICKED,picked for inspection
10,11281,750,6,6,ACCEPTED,accepted for execution
10,14661,759,42,5,PICKED,picked for inspection
10,14661,759,42,5,ACCEPTED,accepted for execution
10,17663,767,125,3,PICKED,picked for inspection
10,17663,767,125,3,ACCEPTED,accepted for execution
10,19168,771,4,3,PICKED,picked for inspection
10,19168,771,4,3,ACCEPTED,accepted for execution
10,20671,775,331,2,PICKED,picked for inspection
10,20671,775,331,2,ACCEPTED,accepted for execution
11,9,800,166,7,PICKED,picked for inspection
11,9,800,166,7,ACCEPTED,accepted for execution
11,4140,811,36,3,PICKED,picked for inspection
11,4140,811,36,3,ACCEPTED,accepted for execution
11,5649,815,300,3,PICKED,picked for inspection
11,5649,815,300,3,ACCEPTED,accepted for execution
11,7152,819,327,1,PICKED,picked for inspection
11,7152,819,327,1,ACCEPTED,accepted for execution
11,7531,820,314,1,PICKED,picked for inspection
11,7531,820,314,1,ACCEPTED,accepted for execution
11,7908,821,92,8,PICKED,picked for inspection
11,7908,821,92,8,ACCEPTED,accepted for execution
11,12411,833,273,1,PICKED,picked for inspection
11,12411,833,273,1,ACCEPTED,accepted for execution
11,12790,834,109,9,PICKED,picked for inspection
11,12790,834,109,9,ACCEPTED,accepted for execution
11,18043,848,391,2,PICKED,picked for inspection
11,18043,848,391,2,ACCEPTED,accepted for execution
11,19171,851,147,8,PICKED,picked for inspection
11,19171,851,147,8,ACCEPTED,accepted for execution
12,1,880,261,6,PICKED,picked for inspection
12,1,880,261,6,ACCEPTED,accepted for execution
12,3387,889,271,5,PICKED,picked for inspection
12,3387,889,271,5,ACCEPTED,accepted for execution
12,6390,897,203,6,PICKED,picked for inspection
12,6390,897,203,6,ACCEPTED,accepted for execution
12,9768,906,160,9,PICKED,picked for inspection
12,9768,906,160,9,ACCEPTED,accepted for execution
12,15021,920,398,7,PICKED,picked for inspection
12,15021,920,398,7,ACCEPTED,accepted for execution
