sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6863332335030449,55,80,0
2,0.6800769828639105,49,72,8
3,0.649264167277086,52,80,0
4,0.5622188905547226,45,80,0
5,0.47485754273717884,38,80,0
6,0.4496402877697842,36,80,0
7,0.424702708104327,34,80,0
8,0.5706676811869887,32,56,24
9,1.0702054794520548,45,42,38
10,1.459719142645972,79,54,26
11,1.6751567398119123,114,68,12
12,2.0591341077085534,130,63,17
13,2.008522535875497,159,79,1
14,1.9594302259792993,157,80,0
15,2.2990360182309524,152,66,14
16,2.3555610760167505,177,75,5
17,3.0602225616408463,187,61,19
18,3.045139718175305,238,78,2
19,3.4237455776619616,240,70,10
20,3.648173471381129,249,68,12
