sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6367571166971866,51,80,0
2,0.6120511624808473,49,80,0
3,0.5869717254470976,47,80,0
4,0.6105909780557303,44,72,8
5,0.5494139584443261,44,80,0
6,0.5368200279645783,43,80,0
7,0.5121073843386736,41,80,0
8,0.5135655328126735,37,72,8
9,0.8324546312225984,40,48,32
10,1.848736207840989,63,34,46
11,1.9557631697433588,139,71,9
12,1.9344693313808368,155,80,0
13,2.093748859613911,153,73,7
14,2.1800798487077118,166,76,4
15,2.3488120950323976,174,74,6
16,2.8841356946869543,185,64,16
17,3.191429535485322,227,71,9
18,3.166846107260615,251,79,1
19,3.355228120007101,252,75,5
20,2.065919452887538,29,14,66
