sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,1.1240632805995006,72,64,16
2,1.587698016269445,89,56,24
3,1.5730598927988813,126,80,0
4,1.547472461645978,124,80,0
5,1.4605039778968743,117,80,0
6,1.4487926727726894,116,80,0
7,1.7946317103620475,115,64,16
8,2.130258610415922,143,67,13
9,2.2335505570737864,170,76,4
10,2.198021780397642,176,80,0
11,2.1902110799918026,171,78,2
12,2.3211458183388514,172,74,6
13,2.835029775731723,179,63,17
14,2.994251038007026,225,75,5
15,3.0420584075214245,195,64,16
