sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,7,0,13,1,PICKED,picked for inspection
1,7,0,13,1,ACCEPTED,accepted for execution
1,764,2,66,10,PICKED,picked for inspection
1,764,2,66,10,ACCEPTED,accepted for execution
1,6769,18,357,9,PICKED,picked for inspection
1,6769,18,357,9,REJECTED,Lisa cannot finish task within the remaining time
1,6769,18,357,9,PICKED,no other tasks could be accepted-trying to break this task
1,6769,18,357,7,ACCEPTED,broke task into smaller parts-accepted for execution
1,6769,18,357,7,ACCEPTED,accepted for execution
2,10,80,400,1,PICKED,picked for inspection
2,10,80,400,1,ACCEPTED,accepted for execution
2,766,82,198,6,PICKED,picked for inspection
2,766,82,198,6,ACCEPTED,accepted for execution
2,6770,98,2,6,PICKED,picked for inspection
2,6770,98,2,6,ACCEPTED,accepted for execution
3,10,160,374,7,PICKED,picked for inspection
3,10,160,374,7,ACCEPTED,accepted for execution
3,5264,174,47,10,PICKED,picked for inspection
3,5264,174,47,10,ACCEPTED,accepted for execution
4,13,240,387,2,PICKED,picked for inspection
4,13,240,387,2,ACCEPTED,accepted for execution
4,1891,245,70,5,PICKED,picked for inspection
4,1891,245,70,5,ACCEPTED,accepted for execution
4,5644,255,16,9,PICKED,picked for inspection
4,5644,255,16,9,ACCEPTED,accepted for execution
4,12399,273,185,3,PICKED,picked for inspection
4,12399,273,185,3,ACCEPTED,accepted for execution
4,13902,277,43,4,PICKED,picked for inspection
4,13902,277,43,4,ACCEPTED,accepted for execution
4,17656,287,123,10,PICKED,picked for inspection
4,17656,287,123,10,REJECTED,Lisa cannot finish task within the remaining time
4,17656,287,123,10,PICKED,no other tasks could be accepted-trying to break this task
4,17656,287,123,10,REJECTED,could not break this task-Lisa finished for this sprint
5,21,320,252,5,PICKED,picked for inspection
5,21,320,252,5,ACCEPTED,accepted for execution
5,4898,333,130,6,PICKED,picked for inspection
5,4898,333,130,6,ACCEPTED,accepted for execution
5,9403,345,35,2,PICKED,picked for inspection
5,9403,345,35,2,ACCEPTED,accepted for execution
5,10907,349,315,3,PICKED,picked for inspection
5,10907,349,315,3,ACCEPTED,accepted for execution
