sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.5865029449935111,47,80,0
2,0.5493590810720825,44,80,0
3,0.537231384307846,43,80,0
4,0.6164866134335368,42,68,12
5,0.5865810230638666,47,80,0
6,0.5620316402997503,45,80,0
7,0.7356375525455394,42,57,23
8,0.7121439280359819,57,80,0
9,1.123501997336884,54,48,32
10,1.1419720676257483,87,76,4
11,1.6436028759972423,89,54,26
12,1.7210271860986546,131,76,4
13,1.9669628527811485,134,68,12
14,1.9978825859772549,156,78,2
15,1.9725528543008395,156,79,1
16,2.4789263531499555,149,60,20
17,2.8480280658467945,197,69,11
18,3.007875164065918,220,73,7
19,3.0561617677146558,239,78,2
20,3.262768939531836,239,73,7
21,2.736318407960199,44,16,64
