sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,1.3121580996500912,71,54,26
2,1.6469594594594594,104,63,17
3,2.6116427432216907,131,50,30
4,2.3686835106382977,190,80,0
5,2.4221961244862005,187,77,3
6,2.3882130943154634,189,79,1
7,2.9805251550081144,191,64,16
8,3.0054552801724137,238,79,1
9,3.325819444957688,240,72,8
10,3.7199595717601253,265,71,9
11,3.6900990766327424,292,79,1
12,3.539169706444329,163,46,34
