sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,2.8757668711656446,75,26,54
2,3.725490196078431,228,61,19
3,3.716626213592233,294,79,1
4,3.6900990766327424,292,79,1
5,3.724998316384942,295,79,1
6,3.7265040759954187,295,79,1
7,3.740270242949085,296,79,1
8,3.7003670898865053,293,79,1
9,3.4764437689969605,122,35,45
